# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
7.492324310888150762e+01	1.629542999417222023e+09	5.228822222222223672e+02	5.146836000000000695e+02	5.297061555555555969e+03	5.343587777777777774e+03	2.397535555555555675e+03	1.387333111111111066e+03	1.724970444444444496e+06	1.654504222222222248e+06	1.098845111111111464e+03
7.622964309742704359e+01	1.629546296535183430e+09	5.228719565217390937e+02	5.146264347826086123e+02	5.296641304347826917e+03	5.342318913043478460e+03	2.397599130434782637e+03	1.387306521739130403e+03	1.725159130434782710e+06	1.654663478260869626e+06	1.097866956521739212e+03
7.751414703858955590e+01	1.629541515086406231e+09	5.226360784313725389e+02	5.144442941176470185e+02	5.294316666666667516e+03	5.340651372549020380e+03	2.397076666666667279e+03	1.387207058823529678e+03	1.725347647058823612e+06	1.654807254901960725e+06	1.096407647058823613e+03
7.882850224607885536e+01	1.629549417844001055e+09	5.226480701754385336e+02	5.143377192982455881e+02	5.295983157894737815e+03	5.341027368421052415e+03	2.396850000000000364e+03	1.387200175438596261e+03	1.725428771929824492e+06	1.654882982456140453e+06	1.096038421052631520e+03
8.013794338123206273e+01	1.629552715901905060e+09	5.219236507936509497e+02	5.141991587301587288e+02	5.295729841269840108e+03	5.339974126984126997e+03	2.396637777777777501e+03	1.387186666666666497e+03	1.724810476190476213e+06	1.654262857142857043e+06	1.095158253968253803e+03
8.145854523527901847e+01	1.629550981611594915e+09	5.221080519480519797e+02	5.140994155844155102e+02	5.294371688311688558e+03	5.338640519480519288e+03	2.396269220779221087e+03	1.387095974025974101e+03	1.723455974025974050e+06	1.652911298701298656e+06	1.093962337662337859e+03
8.272272228913610093e+01	1.629559286263442039e+09	5.217114117647058720e+02	5.139796588235293484e+02	5.295257882352942033e+03	5.338849411764706019e+03	2.396238823529412002e+03	1.387108705882352751e+03	1.722909882352941204e+06	1.652420000000000000e+06	1.093654705882353028e+03
8.361815513360789964e+01	1.629563931927790403e+09	5.214130769230770284e+02	5.138327307692308068e+02	5.297960384615385010e+03	5.341005769230770056e+03	2.395918076923077479e+03	1.387107692307692332e+03	1.722969615384615492e+06	1.652555769230769249e+06	1.093775000000000091e+03
8.544291208185197206e+01	1.629582347337888718e+09	5.199700000000000273e+02	5.129940000000000282e+02	5.319037500000000364e+03	5.359944999999999709e+03	2.393385000000000218e+03	1.386900000000000091e+03	1.726232500000000000e+06	1.656340000000000000e+06	1.098890000000000100e+03
8.670915956728664753e+01	1.629494340612284422e+09	5.222766666666666424e+02	5.127769999999999300e+02	5.296763333333333321e+03	5.348626666666667006e+03	2.390579999999999927e+03	1.386356666666666570e+03	1.721376666666666744e+06	1.651303333333333256e+06	1.091426666666666506e+03
8.788623609399334669e+01	1.629582111919137239e+09	5.214300000000000637e+02	5.127937500000000455e+02	5.319242499999999382e+03	5.358242500000000291e+03	2.393094999999999800e+03	1.386882499999999936e+03	1.726342500000000000e+06	1.656500000000000000e+06	1.097157500000000027e+03
8.916360792766350585e+01	1.629611350544821024e+09	5.194266666666666197e+02	5.126903333333333421e+02	5.325306666666666388e+03	5.361916666666666970e+03	2.393746666666666442e+03	1.387073333333333039e+03	1.727933333333333256e+06	1.658086666666666744e+06	1.098180000000000064e+03
9.050107906198732621e+01	1.629581932075027227e+09	5.189100000000000819e+02	5.124957499999999300e+02	5.318027500000000146e+03	5.358772500000000036e+03	2.392539999999999964e+03	1.386852499999999964e+03	1.726382500000000000e+06	1.656492500000000000e+06	1.095382499999999936e+03
9.202565014306719604e+01	1.629581821078537464e+09	5.192150000000000318e+02	5.123857499999999163e+02	5.317979999999999563e+03	5.357592499999999745e+03	2.391840000000000146e+03	1.386807499999999891e+03	1.726145000000000000e+06	1.656305000000000000e+06	1.094882499999999936e+03
9.320851422543302078e+01	1.629493592785462379e+09	5.197149999999999181e+02	5.121500000000000909e+02	5.297550000000000182e+03	5.347479999999999563e+03	2.389519999999999982e+03	1.386045000000000073e+03	1.721485000000000000e+06	1.651410000000000000e+06	1.088864999999999782e+03
9.436327875630306039e+01	1.629581627030173063e+09	5.190125000000000455e+02	5.121689999999999827e+02	5.317065000000000509e+03	5.356647500000000036e+03	2.391852499999999964e+03	1.386780000000000200e+03	1.725985000000000000e+06	1.656090000000000000e+06	1.093607500000000073e+03
9.573755461273763956e+01	1.629610943966575384e+09	5.173766666666666652e+02	5.120863333333333003e+02	5.322846666666667261e+03	5.358653333333332739e+03	2.392176666666666733e+03	1.387009999999999991e+03	1.727393333333333256e+06	1.657606666666666744e+06	1.095200000000000045e+03
